name,model_type,metric_type,metric_value,train_time
23_CatBoost_Stacked,CatBoost,mae,28.57524156446417,253.25
17_LightGBM_Stacked,LightGBM,mae,28.21729283673611,125.57
71_Xgboost_Stacked,Xgboost,mae,28.32522952554064,184.13
55_RandomForest_Stacked,Random Forest,mae,30.026706238172103,744.73
42_CatBoost_Stacked,CatBoost,mae,28.59338326961048,227.79
1_Default_LightGBM_Stacked,LightGBM,mae,28.3043150859709,169.43
52_Xgboost_Stacked,Xgboost,mae,28.314757839187894,185.44
54_RandomForest_Stacked,Random Forest,mae,30.021802937872735,701.92
63_CatBoost_Stacked,CatBoost,mae,27.369755008040144,353.01
67_LightGBM_Stacked,LightGBM,mae,28.171422535421847,127.86
51_Xgboost_Stacked,Xgboost,mae,28.407486159462277,203.72
57_RandomForest_Stacked,Random Forest,mae,30.04945133779455,495.85
30_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,28.428800200215615,210.41
48_LightGBM_Stacked,LightGBM,mae,28.52237826474078,68.94
5_Xgboost_Stacked,Xgboost,mae,28.34392725340254,189.43
56_RandomForest_Stacked,Random Forest,mae,30.039915661958407,466.1
60_CatBoost_Stacked,CatBoost,mae,27.12077856597244,425.62
70_LightGBM_Stacked,LightGBM,mae,28.24520015039114,144.61
46_Xgboost_Stacked,Xgboost,mae,28.58873532686447,272.3
33_RandomForest_Stacked,Random Forest,mae,30.042642739587873,477.78
65_LightGBM_Stacked,LightGBM,mae,28.19372936135115,128.42
7_Xgboost_Stacked,Xgboost,mae,28.05930433168148,307.32
74_RandomForest_Stacked,Random Forest,mae,30.424912929571008,552.11
Ensemble_Stacked,Ensemble,mae,26.607315360559014,52.59
