feature,mean_importance
minute,-0.00042112971046186497
random_feature,-0.000127427907316513
DEPTH,0.0003195193823069431
ATA_LT,0.0004873392690951661
DRAUGHT,0.0007868273538858661
ID,0.0017559000962441452
SHIPMANAGER,0.0019058614272278508
hour,0.0020272734377740796
FLAG,0.0038442578378925394
BREADTH,0.00636275909138585
BUILT,0.009630219944053553
WEEKEND,0.014367269571092234
ARI_PO,0.015327743566891261
WIND_DIRECTION,0.018374950828253557
LENGTH,0.019441297579495153
V_WIND_SQUARE,0.019707906294426848
U_WIND_SQUARE,0.023479198088647745
ARI_CO,0.024470995716878795
U_WIND,0.024987675233814666
weekday,0.02766801413520359
WIND_SPEED_DIR,0.027700058683675942
BN,0.03090586232660958
VOLUME,0.032191553181697294
SHIP_TYPE_CATEGORY,0.04036988144488098
V_WIND,0.057159010346394555
WIND_INTENSITY,0.059288271788697944
DEADWEIGHT,0.09984944181439531
PORT_SIZE,0.12768368651269552
GT,0.16796451559514836
DIST,0.2506301607033421
AIR_TEMPERATURE,0.3850661128896848
day,0.6403596781071349
SEASON,2.4697485368895093
month,17.21954672835068
year,32.66089390861538
BDI_ADJ,51.23382353895653
