feature,mean_importance
random_feature,-0.0006668364560114659
DEPTH,0.0003184160083295473
ATA_LT,0.0008285151704250815
minute,0.0009156250542615263
ID,0.001465818222808468
BREADTH,0.0015708119572992452
FLAG,0.0017607181089704827
SHIPMANAGER,0.002835429562475644
hour,0.0029552682708581246
DRAUGHT,0.003358790287855984
BUILT,0.01323008530597467
U_WIND,0.015414575261940566
WIND_SPEED_DIR,0.015772900147724457
ARI_PO,0.0166124184095101
WEEKEND,0.01834801389744888
V_WIND_SQUARE,0.020602872528886762
ARI_CO,0.028911676052027747
LENGTH,0.030466645162124127
WIND_INTENSITY,0.030564662919144215
weekday,0.03136447886987574
WIND_DIRECTION,0.03391375443292226
VOLUME,0.03430789357786853
U_WIND_SQUARE,0.03760798102262526
SHIP_TYPE_CATEGORY,0.03878123309813233
V_WIND,0.044956613172730996
BN,0.06582728536389211
GT,0.13602104637447635
PORT_SIZE,0.14585786975185494
DEADWEIGHT,0.14612008543425264
DIST,0.23784985694132627
AIR_TEMPERATURE,0.3564521466881304
day,0.6989154374525351
SEASON,3.2062916570985776
month,19.731619801832966
year,37.669200099829986
BDI_ADJ,57.87590456780455
