feature,mean_importance
random_feature,-0.00019438916623498725
DRAUGHT,-1.8279005839416663e-05
DEPTH,0.00026080582281668986
ATA_LT,0.0003121630366906936
ID,0.00035813028861463313
minute,0.0005905413062857967
hour,0.0015455974793306849
SHIPMANAGER,0.001786384827569043
FLAG,0.004407277230785089
BREADTH,0.006151039403703385
U_WIND_SQUARE,0.008190151143482061
BUILT,0.009536026378773866
LENGTH,0.011415452702684658
BN,0.015180755674199808
ARI_PO,0.017200937077828528
WIND_SPEED_DIR,0.018347568771698897
weekday,0.021428100739419476
WEEKEND,0.025445717637088482
ARI_CO,0.028061126972078097
VOLUME,0.028792053441488143
U_WIND,0.028805398402238967
WIND_INTENSITY,0.03379220442171534
V_WIND_SQUARE,0.04238918504304767
V_WIND,0.043740644300642395
SHIP_TYPE_CATEGORY,0.04838378346738466
WIND_DIRECTION,0.05258120426120734
GT,0.08584944459250214
DEADWEIGHT,0.09491332146712857
PORT_SIZE,0.12748145250982465
DIST,0.25566710925376135
AIR_TEMPERATURE,0.2863945360176898
day,0.46400146646908197
SEASON,2.5045647050206488
month,15.597906483156162
year,27.315861367345576
BDI_ADJ,43.509054982943645
