feature,mean_importance
random_feature,-0.00021126316833173231
DEPTH,-5.252841687176657e-05
minute,0.0007523040139654879
ATA_LT,0.0008076102424268483
ID,0.0012126235820486663
FLAG,0.002183357524212959
SHIPMANAGER,0.002328757566336148
DRAUGHT,0.002386759401276861
hour,0.0027649942296703255
BREADTH,0.004890694632604109
WIND_DIRECTION,0.00915449812367546
U_WIND_SQUARE,0.009242839197370433
BUILT,0.012052948024349386
ARI_PO,0.0180112796304266
weekday,0.021455030725406454
WEEKEND,0.022521100621596023
V_WIND_SQUARE,0.02402067559644925
ARI_CO,0.025101064881311752
VOLUME,0.02705466135931739
LENGTH,0.028711988855691616
BN,0.043247902909102895
SHIP_TYPE_CATEGORY,0.04344508316053709
WIND_INTENSITY,0.04535735030886181
WIND_SPEED_DIR,0.061596913830524916
V_WIND,0.06948723227083153
PORT_SIZE,0.12384229983322718
U_WIND,0.12643022990513947
GT,0.12664651461990137
DEADWEIGHT,0.14326268812850612
DIST,0.23347470310701707
AIR_TEMPERATURE,0.29854342999802724
day,0.6441497971678176
SEASON,2.9466090437863164
month,18.204888007242438
year,34.18231778813324
BDI_ADJ,52.52562265251282
