feature,mean_importance
ATA_LT,0.00024043309826513593
random_feature,0.0003837372379182913
DEPTH,0.0012247568763358973
minute,0.0012490367233564449
SHIPMANAGER,0.0017607100919424744
ID,0.002131348661940968
hour,0.0026818784092500713
FLAG,0.0036492479532446386
DRAUGHT,0.00377154115889623
BREADTH,0.005773396785702068
BUILT,0.010478878914053202
weekday,0.01636968576936536
ARI_PO,0.01772670801465529
WIND_DIRECTION,0.018596078335178023
LENGTH,0.018980980132508096
U_WIND_SQUARE,0.01907314752252485
WEEKEND,0.02243155225223581
ARI_CO,0.025785275621709403
WIND_SPEED_DIR,0.027001399630856147
V_WIND_SQUARE,0.028388893162653073
BN,0.032902571879204034
U_WIND,0.036432371991394055
SHIP_TYPE_CATEGORY,0.03716095745033232
WIND_INTENSITY,0.03800229937788633
VOLUME,0.039153347386167034
V_WIND,0.06842102958224996
DEADWEIGHT,0.14251133726246973
GT,0.1599248460847251
PORT_SIZE,0.16283767054984014
DIST,0.2344184055754887
AIR_TEMPERATURE,0.42886963138164946
day,0.6836229750572869
SEASON,3.4854847397289452
month,18.767039064635263
year,33.343753419258846
BDI_ADJ,53.6720799033087
