feature,mean_importance
random_feature,6.092664513033252e-05
DEPTH,0.00030600678835029926
ID,0.0003471010144348474
minute,0.0005479136026515063
ATA_LT,0.0011703514217434208
SHIPMANAGER,0.001980765668912021
DRAUGHT,0.0020379843746222703
hour,0.002701317164618633
FLAG,0.003017830197911875
BREADTH,0.006344604851372971
WIND_DIRECTION,0.006537345844154441
BUILT,0.010733553671169327
V_WIND_SQUARE,0.016080486261020842
ARI_PO,0.017300864599529973
WIND_SPEED_DIR,0.017749026542446512
weekday,0.022217618200268907
WEEKEND,0.02572615215008762
ARI_CO,0.026314787636595983
U_WIND_SQUARE,0.03394346649729526
VOLUME,0.035243262761843454
U_WIND,0.038871978524076534
SHIP_TYPE_CATEGORY,0.04224378504804166
BN,0.04282443342438748
LENGTH,0.044486857591207726
V_WIND,0.054470437092438706
WIND_INTENSITY,0.07772225152766378
DEADWEIGHT,0.10756271781549125
PORT_SIZE,0.13007087998669062
GT,0.15888873737401313
DIST,0.24221517245735588
AIR_TEMPERATURE,0.32753388856608334
day,0.6271399374441785
SEASON,3.126439128740856
month,18.526820843634233
year,37.07838657376718
BDI_ADJ,54.64796211315597
