feature,mean_importance
random_feature,-0.00019472057538998387
ATA_LT,0.0007287439697782006
minute,0.0008061281191491076
DEPTH,0.001054564414450765
ID,0.001489325454375945
hour,0.0023366325477760853
DRAUGHT,0.0031802686659072044
SHIPMANAGER,0.003536886667137651
FLAG,0.004941292903553607
BREADTH,0.004943164525694354
BUILT,0.007693806873636078
WIND_SPEED_DIR,0.017679398169089665
ARI_PO,0.017777778874921026
WEEKEND,0.020751779568466244
U_WIND,0.021782827130216353
LENGTH,0.02284847265902169
VOLUME,0.023961787030692794
weekday,0.025922961659834952
U_WIND_SQUARE,0.03101304017562907
ARI_CO,0.03195810492846636
SHIP_TYPE_CATEGORY,0.040035687161789846
V_WIND_SQUARE,0.04046527207170375
BN,0.04119170076841212
WIND_DIRECTION,0.043265924031513026
V_WIND,0.06369166243943686
DEADWEIGHT,0.1361470074407634
PORT_SIZE,0.14946825686866855
GT,0.15282998166034184
WIND_INTENSITY,0.19646680301104294
DIST,0.24589062689018037
AIR_TEMPERATURE,0.3289063103924746
day,0.642403165022414
SEASON,2.5744847418960872
month,19.06643872003146
year,37.829646049860614
BDI_ADJ,55.00531505796057
