feature,mean_importance
random_feature,-0.0003630124351473696
DEPTH,0.00019483706477617656
ID,0.0004471730028756671
minute,0.0005337497733931662
ATA_LT,0.000945413911890225
DRAUGHT,0.0014936832375540775
hour,0.0022023821383547306
SHIPMANAGER,0.002226734735890146
FLAG,0.0026653505158139358
U_WIND_SQUARE,0.005047236794439669
BREADTH,0.006917250919944251
BUILT,0.007899680507308127
ARI_PO,0.013600165032344102
WIND_DIRECTION,0.014079425682372016
V_WIND_SQUARE,0.018517502492270833
WEEKEND,0.020924270437551063
LENGTH,0.022437800446417733
ARI_CO,0.028865312152829538
VOLUME,0.029097232093503143
U_WIND,0.03021355195936677
weekday,0.030361293531349122
WIND_SPEED_DIR,0.033124640666838415
SHIP_TYPE_CATEGORY,0.03897020745661611
BN,0.07641460337697062
V_WIND,0.10899560704121003
DEADWEIGHT,0.11539248044793741
WIND_INTENSITY,0.11914697681437554
PORT_SIZE,0.1329938469531107
GT,0.15632264475792818
DIST,0.24992463573486284
AIR_TEMPERATURE,0.3140992456254653
day,0.5869570185601936
SEASON,2.655018850106919
month,17.132928655155666
year,35.3910872761266
BDI_ADJ,52.519491257155416
